,ESTADO,MUNICIPIO,MUJERES_INSEGURAS,TOTAL_MUJERES,TRIMESTRES,PERCEPCION_INSEGURIDAD,FEMINICIDIO,VIOLENCIA_FAMILIAR,VIOLENCIA_GENERO,TOTAL_DELITOS,POBLACION,FECHA
64,Mexico,Naucalpan de juarez,131,154,2022-Q1,85064.93506493507,0.11617856180234774,39.61688957460058,1.742678427035216,41.475746563438136,860744,2022-01-01
65,Mexico,Nezahualcoyotl,125,158,2022-Q1,79113.92405063291,0.0,25.643111552840725,1.945339497112055,27.58845104995278,1130908,2022-01-01
66,Mexico,San mateo atenco,1,4,2022-Q1,25000.0,1.1504964392135206,58.675318399889555,4.6019857568540825,64.42780059595715,86919,2022-01-01
67,Mexico,Tlalnepantla de baz,109,131,2022-Q1,83206.106870229,0.290840135356999,20.06796933963293,2.1813010151774925,22.54011049016742,687663,2022-01-01
68,Mexico,Toluca,78,90,2022-Q1,86666.66666666667,0.0,50.66059632208534,5.579360828423496,56.239957150508836,896160,2022-01-01
69,Mexico,Zinacantepec,13,14,2022-Q1,92857.14285714286,1.052542943752105,41.57544627820815,2.631357359380263,45.25934658134052,190016,2022-01-01
70,Michoacan de ocampo,Lazaro cardenas,80,135,2022-Q1,59259.259259259255,0.0,14.352922414480503,0.0,14.352922414480503,188115,2022-01-01
71,Michoacan de ocampo,Morelia,128,155,2022-Q1,82580.64516129032,0.48649430984092856,16.905677266972265,0.0,17.392171576813194,822209,2022-01-01
72,Michoacan de ocampo,Uruapan,141,153,2022-Q1,92156.86274509803,0.2878658775303411,1.4393293876517053,0.0,1.7271952651820464,347384,2022-01-01
73,Morelos,Cuernavaca,52,57,2022-Q1,91228.0701754386,0.7652787910635845,91.32326906692107,0.0,92.08854785798466,392014,2022-01-01
74,Morelos,Emiliano zapata,17,21,2022-Q1,80952.38095238095,0.0,74.6657938610398,0.0,74.6657938610398,97769,2022-01-01
75,Morelos,Jiutepec,24,33,2022-Q1,72727.27272727274,0.4663635303719249,55.03089658388714,0.0,55.49726011425906,214425,2022-01-01
76,Morelos,Temixco,13,16,2022-Q1,81250.0,0.0,84.85327105159247,0.0,84.85327105159247,119029,2022-01-01
77,Morelos,Xochitepec,6,6,2022-Q1,100000.0,1.4738393515106853,92.85187914517317,0.0,94.32571849668386,67850,2022-01-01
78,Nayarit,Tepic,72,145,2022-Q1,49655.1724137931,0.0,34.54823948936253,0.0,34.54823948936253,413914,2022-01-01
79,Nayarit,Xalisco,4,17,2022-Q1,23529.41176470588,0.0,6.829201666325207,0.0,6.829201666325207,58572,2022-01-01
80,Nuevo leon,Apodaca,54,121,2022-Q1,44628.09917355372,0.0,66.15984012226748,0.0,66.15984012226748,584947,2022-01-01
81,Nuevo leon,General escobedo,85,124,2022-Q1,68548.38709677418,0.48001113625836117,108.962527930648,0.0,109.44253906690635,416657,2022-01-01
82,Nuevo leon,Guadalupe,87,144,2022-Q1,60416.666666666664,0.7513994815343578,56.80580080399745,0.0,57.5572002855318,665425,2022-01-01
83,Nuevo leon,Monterrey,99,130,2022-Q1,76153.84615384616,0.2603979053592493,68.05065260055048,0.0,68.31105050590973,1152083,2022-01-01
84,Nuevo leon,San nicolas de los garza,47,133,2022-Q1,35338.34586466165,0.0,45.24709298970167,0.0,45.24709298970167,433177,2022-01-01
85,Nuevo leon,San pedro garza garcia,18,136,2022-Q1,13235.29411764706,0.0,52.74104887832417,0.0,52.74104887832417,134620,2022-01-01
86,Nuevo leon,Santa catarina,85,121,2022-Q1,70247.93388429753,0.0,66.95065771216073,0.0,66.95065771216073,288272,2022-01-01
87,Oaxaca,Animas trujano,1,1,2022-Q1,100000.0,0.0,114.4950767117014,0.0,114.4950767117014,4367,2022-01-01
88,Oaxaca,Oaxaca de juarez,68,86,2022-Q1,79069.76744186046,0.34963323473676117,93.70170690945199,0.0,94.05134014418874,286014,2022-01-01
89,Oaxaca,San agustin yatareni,1,3,2022-Q1,33333.33333333333,0.0,19.646365422396855,0.0,19.646365422396855,5090,2022-01-01
90,Oaxaca,San agustin de las juntas,2,4,2022-Q1,50000.0,0.0,99.83028850953379,0.0,99.83028850953379,10017,2022-01-01
